PlayStation 2 in the first 60 days will generate $ 1 billion in retail .	PlayStation 2 ! product ; the first 60 days ! date ; $ 1 billion ! money ;
The agreement issued in the early hours of the 23rd stipulates : an immediate , complete cease - fire at Gorazde and its neighborhood ; as the first step , a battalion of United Nations peacekeeping troops is to be critically deployed in the region 3 kilometers from the center of Gorazde City so as to monitor the cease - fire situation of the both sides involved in the war ; the Serb side is to hand over its heavy weapons directly to the care of the United Nations peacekeeping troops or withdraw to a region which can not threaten the safety zone of Gorazde ; safety is to be provided for the withdrawal of the wounded from the city , and completely free passage is to be ensured for all members of the peacekeeping troops and humanitarian aid personnel .	the early hours of the 23rd ! time ; Gorazde ! country ; first ! order ; United Nations ! org ; 3 kilometers ! measure ; Gorazde City ! country ; Serb ! national ; United Nations ! org ; Gorazde ! country ;
For details , please see attachments " Crimes Treated Fairly , Auditing Becomes the Measure Of Money - Laundering , " " It is So Difficult to Legally Dismiss the Corrupt and Evil Community Association Director even at the Joint Request of Over 1600 Residents , " " The Reporter Bleeds and Tears , While the Reported Committing All Crimes Still at Large . "	Crimes Treated Fairly , Auditing Becomes the Measure Of Money - Laundering ! art ; is So Difficult to Legally Dismiss the Corrupt and Evil Community Association Director even at the Joint Request of Over 1600 Residents ! art ; The Reporter Bleeds and Tears , While the Reported Committing All Crimes Still at Large ! art ;
Sada Al Harf	Sada Al Harf ! person ;
The baseball commissioner said the third game of the World Series between the Giants and the Athletics would be played Tuesday in Candlestick Park .	third ! order ; the World Series ! thing ; Giants ! org ; Athletics ! org ; Tuesday ! date ; Candlestick Park ! fact ;
I commute about thirty three miles from the southwest .	about thirty three miles ! measure ;
At present , most of the company 's orders come from Europe and the USA , and are made into upmarket leisurewear such as climbing or golf apparel which sells for as much as NT$ 8,000 per garment .	Europe ! location ; USA ! country ; 8,000 ! money ;
This latest threat calls for more terrorist bombings like that against the `` USS Cole , '' , '' but specifically targets American and Israeli ships in the Suez Canal .	the `` USS Cole ! product ; American ! national ; Israeli ! national ; the Suez Canal ! fact ;
The Republic of China can not and will not remain outside global human rights trends .	The Republic of China ! country ;
The Swedish publishers of a new Estonian - language newspaper rushed an extra edition across the Baltic on Oct. 10 after the first run sold out in one day .	Swedish ! national ; Estonian ! language ; Baltic ! location ; Oct. 10 ! date ; first ! order ; one day ! date ;
Industrywide , oil production in this country fell by 500,000 barrels a day to 7.7 million barrels in the first eight months of this year .	500,000 barrels ! measure ; 7.7 million barrels ! measure ; the first eight months of this year ! date ;
Moreover , while I 'm sure that many people would enjoy the urban life of a newly revitalized Crystal City , many others would not .	Crystal City ! location ;
It 's dumped up to twenty inches of wet heavy snow in some areas /.	twenty inches ! measure ;
If you watch `` Newsnight '' regularly and you do , do n't you ? you know that we are fans of still photographers and trying to bring their work in Iraq and tonight again , we do .	Newsnight ! art ; Iraq ! country ; tonight ! time ;
Flight SQ006 was carrying 179 passengers and crew when it crashed in flames shortly after takeoff .	Flight SQ006 ! product ; 179 ! num ;
And I was there for a year in Central Baghdad /.	a year ! date ; Central Baghdad ! location ;
An ex-general and former head of the Lebanese Army president Emile Lahoud himself a Maronite Christian has been in power since nineteen ninety eight /.	the Lebanese Army ! org ; Emile Lahoud ! person ; a Maronite Christian ! national ; nineteen ninety eight ! date ;
They think it 's far better for their children to be here improving their English than sitting at home in front of a TV . "	English ! language ;
Yet Japan requested that the Soviet Union return Iturup and Kunashiri as well .	Japan ! country ; the Soviet Union ! country ; Iturup ! location ; Kunashiri ! location ;
Recognition also said it obtained a commitment from Chemical Bank and Bank of Boston to convert an estimated $ 18 million in bank debt to a new , 24 - month secured term loan to be repaid through the sale of certain assets .	Recognition ! org ; Chemical Bank ! org ; Bank of Boston ! org ; an estimated $ 18 million ! money ; 24 - month ! date ;
it was your comment eh that you said how would you feel if you were on one of those floors /.	one ! num ;
The September 21 earthquake last year was the final straw .	The September 21 earthquake last year ! thing ;
In the past three years , the development of trust agency business between the two banks has been smooth .	the past three years ! date ; two ! num ;
A rambunctious shake - up is quickly reshaping Europe 's once - stately insurance business .	Europe ! location ;
The conference was entitled `` Economic Mechanisms for Environmental Protection , '' a significant departure from East Bloc usage , which recognizes only one economic mechanism -- central planning -- to direct industrial behavior .	Economic Mechanisms for Environmental Protection ! thing ; East Bloc ! location ; only one ! num ;
This was particularly true in the aftermath of the Arab - Israeli War of 1973 with its peace agreements from which Iraq emerged as a principal remaining challenge to Israel .	the Arab - Israeli War of 1973 ! thing ; Iraq ! country ; Israel ! country ;
One called WorldCom will follow the faster growing data and internet business .	One ! num ; WorldCom ! org ;
The captain of the Jessica Tokinio Arivalo is being held at the Port Authority building on San Kristobal which looks directly out to the stricken tanker still stranded on a reef after running aground nine days ago .	Jessica Tokinio Arivalo ! product ; Port Authority ! person ; San Kristobal ! org ; nine days ago ! location ;
Which cars do Americans favor most these days ?	Americans ! national ; these days ! date ;
BNL , which is controlled by the Italian Treasury , was rocked by the disclosure last month that its Atlanta branch extended more than $ 3 billion in unauthorized credits to Iraq .	BNL ! org ; Italian Treasury ! national ; last month ! org ; Atlanta ! date ; more than $ 3 billion ! country ; Iraq ! money ;
The Watts mall has annual sales of more than $ 350 per leasable square foot ; the figure for a comparable suburban shopping center would be $ 200 .	Watts ! location ; annual ! date ; more than $ 350 ! money ; 200 ! money ;
The second portion will be completed the following year .	second ! order ; the following year ! date ;
We think after the last game when Mike and Fonse and Alan John amongst the others , came in and literally asked me to stay , that I knew at that time , probably could have offered a lot less , that I was going to stay .	Mike ! person ; Fonse ! person ; Alan John ! person ;
Well they do n't start until five ten .	five ten ! time ;
The package is more than $ 1 billion above the recommendations of Budget Director Richard Darman this week .	more than $ 1 billion ! money ; Budget ! org ; Richard Darman this week ! person ;
He ca n't speak English , and is penniless and destitute after his money is stolen by some homeless people .	English ! language ;
Tammy you almost wo n't know what to do with yourself	Tammy ! person ;
But in trying to show he was not out of touch with youth , Mr. Chou , the 45 - year - old boss of a computer components company , had an experience which left him not knowing whether to laugh or cry .	Chou ! person ; 45 - year - old ! date ;
Well , the same goes with the Iraq war .	the Iraq war ! thing ;
The same day , the cabinet approved the plan to resume construction of the Fourth Nuclear Power Plant , and announced that it would formulate a plan for the phased closure and decommissioning of the three existing nuclear plants , on condition that adequate electricity generating capacity is maintained .	the Fourth Nuclear Power Plant ! fact ; three ! num ;
The department 's most significant clarification of existing RICO policy is a directive to prosecutors that they should seek to seize assets from defendants `` in proportion '' to the nature of the alleged offense , Mr. Runkel said .	RICO ! law ; Runkel ! person ;
`` I think we will see a federal funds rate of close to 8 1/2 % in the next two weeks and 8 % by year end . ''	8 1/2 % ! per ; the next two weeks ! date ; 8 % ! per ; year end ! date ;
A master of pork - barrel politics , he had crafted the $ 2.85 billion package in vintage style and used the full force of his chairmanship to keep the proposal intact and dismiss any alternative .	$ 2.85 billion ! money ;
How should Taiwan respond to mainland China 's active development of a missile attack capability ?	Taiwan ! country ; China ! country ;
We 're an hour and a half from getting our Abigail .	an hour and a half ! time ; Abigail ! person ;
Update : Reason prevailed on the `` caboose bill '' and the House backed off a last minute amendment that the Senate would n't go along with , so at least that budget is done .	the `` caboose bill '' ! law ; House ! org ; minute ! time ; Senate ! org ;
My daughters will be the first to drive a car !!?	first ! order ;
Well if it gets to a filibuster and I think that 's a very close call tonight whether it will eventually get there or not and the Republicans then have made it very clear that they would likely invoke the nuclear option /.	tonight ! time ; Republicans ! national ;
Not Gaza .	Gaza ! location ;
However , she remembers the lean years and recalls with relish wearing her first major American purchase -- that turban 10 years later and having a Los Angeles boutique owner ask her if it was a Chanel .	the lean years ! date ; American ! national ; 10 years later ! date ; Los Angeles ! country ; Chanel ! org ;
Half of them get the flu .	Half ! num ;
So the potato crop , once 47 million tons , is down to 35 million .	47 million tons ! measure ; 35 million ! num ;
We were out trying to do earthquake prevention , so we just went on criticizing Deng outside !	Deng ! person ;
Almost 40 % of schizophrenic men have an impaired sense of smell vs. fewer than 10 % of schizophrenic women , reports the American Journal of Psychiatry .	40 % ! per ; fewer than 10 % ! per ; the American Journal of Psychiatry ! org ;
By the Constitution and everything else is in charge of Iraq /.	Constitution ! law ; Iraq ! country ;
Also , most of the ramps connecting the city to its main link to the south , the 101 freeway , have been closed for repairs .	101 ! fact ;
The scandal sheet Shams , the adolescent dinosaur , did the most , and it was happier than others .	Shams ! org ;
First based on the authority recently given to me by Congress I 'm suspending the Iraq 's Sanctions Act , which restricts the export of certain commitment necessary for Iraq 's reconstruction .	First ! order ; Congress ! org ; the Iraq 's Sanctions Act ! law ; Iraq ! country ;
Michael , as I read the article , we knew that these were not good guys , putting it mildly , but as you saw and heard the revelations , what were your reactions ?	Michael ! person ;
" Over 30 % of Taipei 's population is made up of mainlanders [ those who fled the Chinese Communists , and their descendants ] , " explains Chen Tung - sheng .	Over 30 % ! per ; Taipei ! country ; Chinese Communists ! national ; Chen Tung - sheng ! org ;
Then if in fact the team he ultimately plays on , whether the Cleveland Cavaliers , or somebody else , whether they actually are any good .	the Cleveland Cavaliers ! org ;
It makes for an amusing contrast with her grandmother , who does n't speak Mandarin well at all .	Mandarin ! language ;
Signs of growing weakness in the economy , paired with indications that inflation is staying well under control , have caused them to wonder why the Fed chairman is so grudging in reducing rates .	Fed ! org ;
New York City 's revised financial plan , due out later this month , is expected to include measures to balance the city 's $ 27 billion budget .	New York City 's ! country ; later this month ! date ; $ 27 billion ! money ;
Like other East Bloc countries , Poland possesses environmental laws more honored in their breach than in their observance .	East Bloc ! location ; Poland ! country ;
The following 13 questions are what investors are most concerned about .	13 ! num ;
so we started looking on vacation a couple of weeks ago	weeks ago ! date ;
Well , by making investments there , in fact , well , it would be equivalent to permanent recognition that the four islands are Russia 's .	four ! num ; Russia ! country ;
He had admitted to throwing a stun grenade at a guard outside the U.S. Embassy in Kenya just before the explosion .	the U.S. Embassy ! fact ; Kenya ! country ;
Is it thirty minutes ?	thirty minutes ! time ;
It is estimated that industries of the entire province at the township level and above will have accumulated completed sales values of 23 billion yuan , increasing by 16 % over last year .	23 billion yuan ! money ; 16 % ! per ; last year ! date ;
The truth about our Camelot obsessed society is each of us in our own way has slept with the JFK .	Camelot ! location ; JFK ! person ;
" Earning money is the first priority , spending money is a sin , long live personal money management ! "	first ! order ;
" From review , to written test , to oral exam , in order to ensure fairness , no professor is involved in more than one portion of the process , " says Huang Chung - hsing , director of the EMBA program at NTU .	more than one ! num ; Huang Chung - hsing ! person ; EMBA ! art ; NTU ! org ;
-LRB- The Sediq are one branch of the Atayal tribe . -RRB-	Sediq ! national ; Atayal ! national ;
There is much evidence against the Rafidites in particular ..	Rafidites ! national ;
Particularly now that the Coastal Defense Law has been passed , and responsibility for coastal patrols will pass to the non-military Coast Guard Command , if Taiwan 's military still operates under the traditional assumption of first establishing air and sea superiority followed by defense on land , this could give mainland China an opportunity to strike a death blow .	the Coastal Defense Law ! law ; Coast Guard Command ! org ; Taiwan ! country ; China ! country ;
It 's the latest in a line of ever improving game machines that began with the Atari , some of us remember , so many years ago .	Atari ! product ; so many years ago ! date ;
On the 6th , the US Ambassador to China , ShamJie , delivered a speech at the luncheon meeting organized by New York 's US - Chinese Relations National Committee , urging the US to " use strategic vision in adopting continuous , reliable and constructive policies toward China " , use frank , fully opened dialogue to solve differences with China over some issues .	the 6th ! date ; US ! country ; China ! country ; ShamJie ! person ; New York 's US - Chinese Relations National Committee ! country ; US ! org ; China ! country ; China ! country ;
50 % said we 're voting against her , we 're not voting for Rick Lazio , we 're voting against Senate Hillary , and that shows you that , in fact , as Chris pointed out , she really is a tremendous lightning rod .	50 % ! per ; Rick Lazio ! person ; Senate Hillary ! org ; Chris ! person ;
He wrote a book called The Republic of Fear , the Politics of Modern Iraq , and I asked him about the news that Saddam Hussein was targeted in yesterday 's strike and how Iraqis would react if Saddam was killed .	The Republic of Fear , the Politics of Modern Iraq ! art ; Saddam Hussein ! person ; yesterday ! date ; Iraqis ! national ; Saddam ! person ;
Chinese New Year 's Eve - Doing it the Modern Way	Chinese New Year 's Eve ! thing ;
The famous 110 meter hurdle competitor from the UK , Jackson , and the famous long - jump competitor from the US , Powell clinched the gold medals for the 110 hurdle and long - jump , thereby maintaining victory in the four station championship competition named " Four Gold " , sharing 20 gold bars worth 250,000 US dollars .	110 meter ! measure ; UK ! country ; Jackson ! person ; US ! country ; Powell ! person ; 110 ! num ; four ! num ; " Four Gold " ! thing ; 20 ! num ; 250,000 US dollars ! money ;
The evil force is rampant at the Fenghua Garden community , Xuzhou .	Fenghua Garden ! fact ; Xuzhou ! country ;
There is also a busy schedule of speaking engagements at $ 10,000 a pop , at tony places including the Yale Political Union .	10,000 ! money ; the Yale Political Union ! org ;
In other news , Daimler Chrysler lost its major Wall Street backer , investment firm Goldman Sachs downgraded the German auto - maker after its US - based Chrysler unit showed poor third quarter earnings and warned the fourth quarter does not look good either .	Daimler Chrysler ! org ; Wall Street ! fact ; Goldman Sachs ! org ; German ! national ; US ! country ; Chrysler ! org ; third quarter ! date ; the fourth quarter ! date ;
From Asia , he has mink jackets with floral patterns made by using different colored furs .	Asia ! location ;
Together with the financial street which has already formed in the Waitan district , a Shanghai central commercial district is in the process of forming .	Waitan ! location ; Shanghai ! country ;
The picture shows the extent of our ability to stand in the face of America , and I hope the members would comment on the picture .	America ! country ;
Within a year of the product 's release in October of 1997 , it had sold three million copies worldwide .	Within a year ! date ; October of 1997 ! date ; three million ! num ;
Does he speak English pretty well	English ! language ;
The question here is , are they Yemeni nationals ?	Yemeni ! national ;
We got a lot of e-mails to us on the East Coast who do n't know about the farm .	the East Coast ! location ;
His vision soon gained vogue as much in Washington as amid the stultified upper reaches of the Soviet military of the early 1980s .	Washington ! country ; Soviet ! national ; the early 1980s ! date ;
Wherever you 're watching from around the world thanks very much for joining us for Late Edition /.	Late Edition ! art ;
The new place was ideal for painting , but at NT$ 35,000 per month the rent was on the high side .	NT$ 35,000 ! money ;
Firstly , it enables people to share information .	Firstly ! order ;
These days , as a short stroll down rue Saint - Denis or through the back streets of Pigalle - where porn DVDs are on sale at knock - down rates - reveals the opposite is true .	rue Saint - Denis ! fact ; Pigalle ! fact ;
When his Seventh Avenue fur business here was flying high 20 years ago , Jack Purnick had 25 workers and a large factory .	Seventh Avenue ! fact ; 20 years ago ! date ; Jack Purnick ! person ; 25 ! num ;
Only with Reagan 's election in 1980 did fix and favor supplant science and the public interest .	Reagan ! person ; 1980 ! date ;
NPR 's Tom Gilton has more .	NPR ! org ; Tom Gilton ! person ;
A few miles past Radzymin , a dirt road narrows to a track of sand and leads into Zalubice , a village of tumbledown farms .	A few miles ! measure ; Radzymin ! country ; Zalubice ! country ;
Mr. Bush is expected to win support for his peace making campaign in the Middle East crisis .	Bush ! person ; Middle East ! location ;
A company spokesman , reached at his home last night , would only say that there will be a public announcement of the reduction program by the end of the week .	last night ! time ; the end of the week ! date ;
Sterling was quoted at $ 1.6055 , up from $ 1.6030 late Monday .	1.6055 ! money ; 1.6030 late Monday ! money ;
When Virginia does systematically explore these ideas they may very well come to the conclusion that Fundamental Change is a really lousy idea , and that , bad as it is , business as usual is the best option after all .	Virginia ! country ;
but I do n't like taking summer courses not like two at a time .	two ! num ;
It was only the second World Cup win for Hummer who 's been on the national team for five years .	second World Cup ! order ; Hummer ! thing ; five years ! person ;
There she spent her days clearing land and planting crops , and in the evening she wove ; after years of arduous toil , she became a wealthy woman with a hundred mu of fine land .	a hundred mu ! measure ;
The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away - from - home tissue products for the Benelux region .	Dutch ! national ; Celtona B.V. ! org ; Benelux ! country ;
The summary of the " Audit Law " emphasizes that the aim of making this law is to strengthen national audit supervision , to maintain the nation 's financial and economic order , to promote the construction of honest administration , and to ensure healthy development of the national economy .	the " Audit Law " ! law ;
He reckons the current account deficit will narrow to only # 1.8 billion in September .	# 1.8 billion ! money ; September ! date ;
It 's a kind of New Year 's Eve dish for the spirit ! "	New Year 's Eve ! thing ;
A Taiwanese merchant investment district has been established within Tianjin 's Economic and Technology Development District , providing conveniences for Taiwanese merchants investing in Tianjin such as more preferential conditions and more circumspect service .	Taiwanese ! national ; Tianjin ! country ; Economic and Technology Development District ! location ; Taiwanese ! national ; Tianjin ! country ;
The fire , near the historic State Park started yesterday when a trailer , hauled by a pickup , ignited on the Golden State Freeway .	State Park ! fact ; yesterday ! date ; the Golden State Freeway ! fact ;
`` That is n't consistent with the kind of discipline that Gramm - Rudman is supposed to impose , '' he said .	Gramm - Rudman ! law ;
